datetime,discharge(cumecs),sld_sus(mg/l),date,site_name
2009-02-27 15:10:00,4.59,6.4,2009-02-27 00:00:00,Mole above Thames
2009-03-24 14:45:00,3.96,6.5,2009-03-24 00:00:00,Mole above Thames
2009-05-01 14:45:00,3.13,7.4,2009-05-01 00:00:00,Mole above Thames
2009-05-19 14:40:00,4.83,9.2,2009-05-19 00:00:00,Mole above Thames
2009-07-02 14:50:00,1.91,3.6,2009-07-02 00:00:00,Mole above Thames
2009-07-23 13:00:00,1.68,4.5,2009-07-23 00:00:00,Mole above Thames
2009-08-20 13:45:00,2.58,5.5,2009-08-20 00:00:00,Mole above Thames
2009-09-24 15:00:00,1.33,3.8,2009-09-24 00:00:00,Mole above Thames
2009-10-23 11:25:00,1.68,4.2,2009-10-23 00:00:00,Mole above Thames
2009-11-18 15:47:00,15.9,20.7,2009-11-18 00:00:00,Mole above Thames
2009-12-03 16:20:00,33.9,35.7,2009-12-03 00:00:00,Mole above Thames
2010-01-25 15:11:00,11.2,17.2,2010-01-25 00:00:00,Mole above Thames
2010-02-25 14:10:00,31.3,34.0,2010-02-25 00:00:00,Mole above Thames
2010-03-26 15:15:00,11.6,11.3,2010-03-26 00:00:00,Mole above Thames
2010-05-05 16:00:00,3.01,7.78,2010-05-05 00:00:00,Mole above Thames
2010-05-26 13:15:00,2.03,11.0,2010-05-26 00:00:00,Mole above Thames
2010-08-20 12:10:00,1.26,4.57,2010-08-20 00:00:00,Mole above Thames
2010-09-23 15:00:00,2.03,3.97,2010-09-23 00:00:00,Mole above Thames
2010-10-27 13:00:00,2.65,5.58,2010-10-27 00:00:00,Mole above Thames
2010-11-16 13:20:00,6.23,31.8,2010-11-16 00:00:00,Mole above Thames
2010-12-16 12:01:00,3.73,9.22,2010-12-16 00:00:00,Mole above Thames
2011-01-31 08:30:00,4.19,11.3,2011-01-31 00:00:00,Mole above Thames
2011-02-24 10:00:00,7.6,14.2,2011-02-24 00:00:00,Mole above Thames
2011-03-15 09:00:00,3.05,5.77,2011-03-15 00:00:00,Mole above Thames
2011-04-27 08:05:00,1.67,15.3,2011-04-27 00:00:00,Mole above Thames
2011-05-31 11:10:00,1.15,5.98,2011-05-31 00:00:00,Mole above Thames
2011-06-06 14:45:00,3.21,5.37,2011-06-06 00:00:00,Mole above Thames
2011-07-26 08:30:00,1.49,3.85,2011-07-26 00:00:00,Mole above Thames
2011-11-18 12:43:00,1.39,3.62,2011-11-18 00:00:00,Mole above Thames
2011-12-02 08:53:00,4.65,4.9,2011-12-02 00:00:00,Mole above Thames
2012-01-12 09:53:00,2.86,12.4,2012-01-12 00:00:00,Mole above Thames
2012-02-01 10:38:00,2.37,8.6,2012-02-01 00:00:00,Mole above Thames
2012-03-02 10:20:00,1.74,5.38,2012-03-02 00:00:00,Mole above Thames
2012-04-03 08:15:00,1.45,7.87,2012-04-03 00:00:00,Mole above Thames
2012-05-02 11:37:00,13.3,25.8,2012-05-02 00:00:00,Mole above Thames
2012-06-07 15:01:00,3.76,4.58,2012-06-07 00:00:00,Mole above Thames
2012-07-04 14:15:00,5.12,4.97,2012-07-04 00:00:00,Mole above Thames
2012-07-24 14:08:00,3.24,6.5,2012-07-24 00:00:00,Mole above Thames
2012-10-12 10:41:00,5.27,7.67,2012-10-12 00:00:00,Mole above Thames
2012-10-31 14:15:00,3.86,8.8,2012-10-31 00:00:00,Mole above Thames
2012-11-28 10:37:00,15.1,41.7,2012-11-28 00:00:00,Mole above Thames
2009-02-23 09:15:00,8.51,6.9,2009-02-23 00:00:00,Wey above Thames
2009-03-24 09:50:00,6.51,7.1,2009-03-24 00:00:00,Wey above Thames
2009-04-20 11:45:00,5.93,15.4,2009-04-20 00:00:00,Wey above Thames
2009-06-04 11:15:00,3.93,7.4,2009-06-04 00:00:00,Wey above Thames
2009-06-23 13:55:00,3.6,7.2,2009-06-23 00:00:00,Wey above Thames
2009-07-21 10:26:00,3.71,6.2,2009-07-21 00:00:00,Wey above Thames
2009-08-17 10:05:00,3.36,7.4,2009-08-17 00:00:00,Wey above Thames
2009-09-22 11:18:00,3.31,4.0,2009-09-22 00:00:00,Wey above Thames
